prefLabel;hasLanguage
improvável;pt
glorioso;pt
gigante;pt
extravagante;pt
exclusivo;pt
esbranquiçado;pt
enérgico;pt
enrugado;pt
direto;pt
crítico;pt
corpulento;pt
básico;pt
brutal;pt
atarefado;pt
arrumado;pt
animal;pt
ávido;pt
vitoriano;pt
tranquilizador;pt
sonolento;pt
reduzido;pt
radioso;pt
psicológico;pt
primário;pt
preferido;pt
múltiplo;pt
municipal;pt
matinal;pt
liberal;pt
jovial;pt
inofensivo;pt
inexplicável;pt
inclinado;pt
iminente;pt
flexível;pt
financeiro;pt
febril;pt
entusiasmado;pt
eletrônico;pt
eficiente;pt
directo;pt
diplomático;pt
diabólico;pt
crucial;pt
circular;pt
bem-vindo;pt
avermelhado;pt
aterrorizado;pt
aterrado;pt
assírio;pt
assente;pt
apagado;pt
ameno;pt
amarelado;pt
abundante;pt
abjecto;pt
vulnerável;pt
volumoso;pt
vertical;pt
tácito;pt
salgado;pt
rasgado;pt
perverso;pt
permanente;pt
peculiar;pt
noturno;pt
mórbido;pt
momentâneo;pt
memorável;pt
maternal;pt
lúcido;pt
individual;pt
indefinido;pt
imponente;pt
imperial;pt
impecável;pt
impassível;pt
imaginário;pt
hediondo;pt
genial;pt
fúnebre;pt
festivo;pt
exigente;pt
esquecido;pt
espaçoso;pt
descansado;pt
defunto;pt
cortês;pt
compreensivo;pt
civilizado;pt
chinês;pt
casto;pt
caseiro;pt
barulhento;pt
austero;pt
arrependido;pt
apreensivo;pt
apavorado;pt
angustiado;pt
agreste;pt
aceso;pt
acabado;pt
trabalhador;pt
sumptuoso;pt
soberbo;pt
semanal;pt
saliente;pt
rijo;pt
reto;pt
rebelde;pt
preso;pt
prematuro;pt
precário;pt
plausível;pt
pendente;pt
paterno;pt
obsceno;pt
mãe;pt
mouro;pt
medonho;pt
materno;pt
juvenil;pt
ingénuo;pt
inflexível;pt
independente;pt
incrédulo;pt
hostil;pt
genuíno;pt
exótico;pt
externo;pt
expressivo;pt
exposto;pt
esfarrapado;pt
esbelto;pt
envidraçado;pt
encolhido;pt
embriagado;pt
educado;pt
difuso;pt
desapontado;pt
desamparado;pt
criminoso;pt
corado;pt
contíguo;pt
carinhoso;pt
bárbaro;pt
audível;pt
aturdido;pt
apropriado;pt
adolescente;pt
vigilante;pt
venenoso;pt
vadio;pt
teso;pt
sutil;pt
supersticioso;pt
sucessivo;pt
separado;pt
rural;pt
roto;pt
revolto;pt
resplandecente;pt
prévio;pt
proibido;pt
passageiro;pt
parvo;pt
material;pt
mal-humorado;pt
invulgar;pt
inacessível;pt
inacabado;pt
imundo;pt
impuro;pt
impotente;pt
impenetrável;pt
hirto;pt
fotográfico;pt
exuberante;pt
exemplar;pt
estrábico;pt
ensolarado;pt
encharcado;pt
dócil;pt
dolorido;pt
desconcertado;pt
dependente;pt
cuidadoso;pt
crespo;pt
convincente;pt
conjugal;pt
cerrado;pt
bondoso;pt
atrevido;pt
ambulante;pt
agrícola;pt
afectuoso;pt
acocorado;pt
acanhado;pt
íngreme;pt
árabe;pt
vitorioso;pt
visual;pt
urbano;pt
térreo;pt
triangular;pt
transtornado;pt
torpe;pt
tenro;pt
temível;pt
tabajara;pt
sublime;pt
reconfortante;pt
quotidiano;pt
prostrado;pt
pesaroso;pt
pasmado;pt
ossudo;pt
ofuscante;pt
obstinado;pt
neutro;pt
meticuloso;pt
medíocre;pt
marinho;pt
majestoso;pt
luxuoso;pt
latino;pt
inconsciente;pt
incessante;pt
impensável;pt
humilhante;pt
holandês;pt
frenético;pt
espectacular;pt
erudito;pt
docente;pt
desorientado;pt
desnecessário;pt
desbotado;pt
deliberado;pt
correto;pt
convicto;pt
baseado;pt
anónimo;pt
amigável;pt
árduo;pt
vigoroso;pt
viciado;pt
vertiginoso;pt
vergonhoso;pt
turco;pt
torto;pt
sinuoso;pt
romano;pt
recôndito;pt
radiante;pt
posterior;pt
poeirento;pt
passivo;pt
oco;pt
multicolor;pt
medroso;pt
isento;pt
irracional;pt
insuficiente;pt
ingênuo;pt
infindável;pt
incomodado;pt
inadequado;pt
histérico;pt
gratuito;pt
gostoso;pt
funerário;pt
fugaz;pt
fluorescente;pt
florido;pt
escandaloso;pt
doentio;pt
desejoso;pt
desconhecido;pt
desconcertante;pt
cortante;pt
cordial;pt
contemporâneo;pt
concreto;pt
comunista;pt
cigano;pt
chegado;pt
caprichoso;pt
burguês;pt
bravo;pt
azulado;pt
atónito;pt
arqueado;pt
aprazível;pt
adiantado;pt
acolhedor;pt
acessível;pt
acastanhado;pt
abobadado;pt
válido;pt
virtuoso;pt
tropical;pt
tortuoso;pt
teimoso;pt
sóbrio;pt
suburbano;pt
sobrenatural;pt
secular;pt
saudoso;pt
salvo;pt
rolante;pt
resultante;pt
ressequido;pt
residencial;pt
reprovador;pt
referido;pt
raso;pt
preguiçoso;pt
plácido;pt
pitoresco;pt
persistente;pt
perceptível;pt
penoso;pt
pacífico;pt
opaco;pt
ofendido;pt
obediente;pt
mítico;pt
muçulmano;pt
mensal;pt
maligno;pt
magoado;pt
maciço;pt
lânguido;pt
londrino;pt
limitado;pt
judicial;pt
irônico;pt
intermitente;pt
insípido;pt
instintivo;pt
insistente;pt
inseguro;pt
inquietante;pt
inexpressivo;pt
indistinto;pt
incómodo;pt
imprevisto;pt
ignorante;pt
grotesco;pt
frito;pt
fosco;pt
forçado;pt
filosófico;pt
estético;pt
estupefacto;pt
espontâneo;pt
entretido;pt
elástico;pt
eficaz;pt
despido;pt
descorado;pt
desanimado;pt
deprimente;pt
delgado;pt
decrépito;pt
decepcionado;pt
cristalino;pt
cognitivo;pt
cerebral;pt
cavo;pt
calvo;pt
caloroso;pt
bruto;pt
baço;pt
azedo;pt
autoritário;pt
astuto;pt
ambicioso;pt
amador;pt
alado;pt
afirmativo;pt
activo;pt
abstracto;pt
abrupto;pt
abominável;pt
abalado;pt
vil;pt
verdejante;pt
temeroso;pt
temente;pt
telefônico;pt
subterrâneo;pt
silvestre;pt
sacana;pt
saboroso;pt
rutilante;pt
revolucionário;pt
resignado;pt
repetido;pt
realista;pt
quebrado;pt
próspero;pt
portátil;pt
pornográfico;pt
pontiagudo;pt
pertencente;pt
oval;pt
opressivo;pt
oportuno;pt
ocioso;pt
obrigatório;pt
oblíquo;pt
obcecado;pt
nupcial;pt
móvel;pt
moribundo;pt
misto;pt
malicioso;pt
lamentável;pt
irado;pt
invejoso;pt
interrogativo;pt
inimigo;pt
infame;pt
inesgotável;pt
indicado;pt
indefeso;pt
imortal;pt
honrado;pt
giratório;pt
fútil;pt
furtivo;pt
fulvo;pt
fronteiro;pt
fito;pt
ferido;pt
favorito;pt
falecido;pt
expectante;pt
exasperado;pt
estéril;pt
estudantil;pt
estimulante;pt
esplendoroso;pt
esmagador;pt
escocês;pt
entendido;pt
enjoado;pt
encarnado;pt
empoleirado;pt
emocionado;pt
douto;pt
deslumbrante;pt
desigual;pt
desempregado;pt
descontente;pt
decisivo;pt
cínico;pt
cálido;pt
contrariado;pt
contorcido;pt
contido;pt
conservador;pt
condescendente;pt
compassivo;pt
ciente;pt
carnudo;pt
cansativo;pt
bêbedo;pt
bestial;pt
azul-escuro;pt
antiquado;pt
alimentar;pt
alcoólico;pt
acertado;pt
ínfimo;pt
árido;pt
vítreo;pt
voraz;pt
verbal;pt
trocista;pt
triunfal;pt
translúcido;pt
teórico;pt
tentado;pt
suspenso;pt
sul;pt
soberano;pt
sedutor;pt
sangrento;pt
róseo;pt
rugoso;pt
ritmado;pt
resoluto;pt
requintado;pt
regalado;pt
rachado;pt
púrpura;pt
protector;pt
petulante;pt
pecaminoso;pt
pausado;pt
pateta;pt
pastoso;pt
passado;pt
opulento;pt
ondulado;pt
oleoso;pt
neoclássico;pt
místico;pt
monumental;pt
moderado;pt
mineiro;pt
maçador;pt
manifesto;pt
macilento;pt
lunar;pt
leviano;pt
leitoso;pt
irreal;pt
instável;pt
instantâneo;pt
insondável;pt
insolente;pt
inerte;pt
indiscreto;pt
indigno;pt
indecente;pt
incompreensível;pt
incompleto;pt
impróprio;pt
imprevisível;pt
imperfeito;pt
imaculado;pt
ideológico;pt
humilhado;pt
giro;pt
fulminante;pt
fugitivo;pt
fugidio;pt
frívolo;pt
farpado;pt
falador;pt
experiente;pt
excêntrico;pt
estrelado;pt
escaldante;pt
engenhoso;pt
encorajador;pt
empenhado;pt
elétrico;pt
eclesiástico;pt
dominante;pt
dominador;pt
disforme;pt
despreocupado;pt
desordenado;pt
desinteressado;pt
desfeito;pt
descontraído;pt
desastroso;pt
desarmado;pt
desaparecido;pt
delirante;pt
curvado;pt
crescido;pt
compacto;pt
colossal;pt
chuvoso;pt
chateado;pt
celeste;pt
cavernoso;pt
boquiaberto;pt
bobo;pt
bancário;pt
atroz;pt
atordoado;pt
arredondado;pt
ancestral;pt
ambíguo;pt
altivo;pt
alerta;pt
alemã;pt
aflitivo;pt
acentuado;pt
acadêmico;pt
abandonado;pt
zeloso;pt
volátil;pt
voluptuoso;pt
veloz;pt
vantajoso;pt
usual;pt
usado;pt
uníssono;pt
tépido;pt
tristonho;pt
traiçoeiro;pt
trabalhoso;pt
tolerante;pt
tocante;pt
tenebroso;pt
suposto;pt
sufocado;pt
subversivo;pt
submisso;pt
sofisticado;pt
sisudo;pt
simultâneo;pt
roliço;pt
residente;pt
reformado;pt
recíproco;pt
ralo;pt
raivoso;pt
racional;pt
publicitário;pt
proveniente;pt
prometedor;pt
preocupante;pt
prenhe;pt
premente;pt
preliminar;pt
precedente;pt
potente;pt
plangente;pt
pegajoso;pt
patente;pt
paralisado;pt
pacato;pt
ostensivo;pt
nostálgico;pt
mortiço;pt
mineral;pt
matutino;pt
marítimo;pt
manual;pt
